Pressure (mbar),C2H4,Growth Time (min),H2,CH4,Ar,C2H2
800.0,30.0,250.0,354.740277694402,5.50030024505656,261.05372479205283,7.890854122710834
750.0,30.0,30.0,840.6797751607993,6.086013940506792,392.28796307979263,8.179875612836698
1013.25,30.0,60.0,23.333333333333332,77.66666666666667,650.0,8.065679574319214
26.67,30.0,5.0,400.0,200.0,59.58494200363771,24.279033584615934
13.33,30.0,4.0,50.0,6.0,136.57262573651525,5.3920938341352445
133.3,30.0,1.5,187.32204000980602,28.081905111862653,60.0,19.341191146992603
53.32,30.0,30.0,10.0,0.1,297.7104700427879,11.904838381958978
1013.25,30.0,60.0,50.0,0.1,712.3866450704209,8.065679574319214
13.33,30.000000000000004,20.0,200.0,10.0,148.11233409965098,21.25937169361326
1013.25,29.999999999999996,5.0,10.0,0.5,800.0,2.910451660307955
1013.25,30.0,67.5,12.5,12.5,450.0,7.778684622312651
1013.25,29.999999999999996,35.0,15.0,12.5,300.0,7.953356127588023
1013.25,30.0,30.0,300.0,7.0,425.79048451821524,2.8876048409356523
1013.25,30.0,380.0,500.0,4.0,417.4204510523528,2.790921386932994
1013.25,30.0,15.0,200.0,1.5,500.0,7.752520871606302
1013.0,29.999999999999996,134.0,300.0,6.0,417.69796578493174,2.8592416174818727
1013.0,30.0,62.5,15.0,12.5,300.0,7.947676419356685
1013.0,30.0,75.0,50.0,2.575,200.0,8.017813773052282
1013.0,30.0,15.25,50.0,2.575,200.0,8.029990033974382
1013.0,30.0,90.0,80.0,10.0,200.0,8.01542599277322
263.66545310094455,30.0,47.5,120.0,6.0,261.41883301723624,16.324085897208356
27.0,30.0,30.0,100.0,8.0,100.0,9.034983751911708
27.0,30.000000000000004,30.0,80.0,1.0,334.7896738108223,8.942394372552046
0.0133,30.0,20.0,0.4,1.4,159.0419705168254,9.038719357376346
1.0,30.0,30.0,24.0,12.0087199534247,147.59690324539554,12.0
666.612,30.0,50.0,201.5,13.0,311.6396162073342,7.597435819751228
15.0,30.000000000000004,20.0,60.0,15.0,185.41286657375417,6.637933898464824
27.0,30.0,20.0,4.0,1.0,312.7280955642246,9.631198161822098
144.0,30.0,30.0,8.0,1.0,336.09599007718293,10.16676090159657
1013.0,30.000000000000004,10.0,1500.0,25.0,585.9473925780987,9.449502968655864
11.0,29.999999999999996,33.0,10.0,23.0,120.0,9.362916177058791
0.1,30.0,45.0,20.0,60.0,140.0,9.067243304941266
0.02,30.0,30.0,239.2495696673523,9.868429083723878,122.4198548460709,29.724000277289928
7.0,30.0,30.0,50.0,0.25,500.0,5.865020228506585
93.0,29.999999999999996,30.0,0.7,280.0,10000.0,6.300085691115505
0.666612,30.0,12.5,51.0,52.5,121.29624366143925,26.265947611065492
10.5,30.000000000000004,60.0,50.0,1.5,100.0,8.273350261714986
1e-06,30.0,5.0,300.0,5.16681059200226,79.76396949195332,30.0
1e-06,30.0,5.0,300.0,5.16681059200226,79.76396949195332,30.0
17.5,29.999999999999996,1.0,50.0,1.5,167.9520972132916,6.087557760333255
30.0,30.0,37.5,140.0,60.0,271.9865790678499,11.471800969907997
0.033330592,30.0,10.0,190.0659076467014,17.133673583243212,51.509136264219755,29.311555201078058
0.033330592,30.0,10.0,190.0659076467014,17.133673583243212,51.509136264219755,29.311555201078058
0.054,29.999999999999996,450.0,55.0,102.19905629323758,184.9091039174724,0.225
1.33e-06,30.0,5.0,200.0,100.0,54.23032461328532,21.01056974048899
1e-06,30.0,150.0,50.0,1.5,203.9371957429642,0.52
1e-06,30.0,150.0,50.0,1.5,203.9371957429642,0.52
3.46638,30.000000000000004,20.0,20.0,3.0,20.0,9.61490416606164
0.5999507,29.999999999999996,17.5,151.0121008884541,2.0,100.0,28.08858513051006
0.01,30.0,15.0,2.0,10.0,169.7674214850823,8.867087990115564
1.179903,30.000000000000004,75.0,10.0,0.1,50.0,8.919112500214935
0.533289,30.0,90.0,60.0,40.0,400.0,4.82148157174172
0.005466217,30.0,20.0,293.48532310279444,0.6,383.0323887778331,29.982658518168318
218.800434542,30.0,5.0,104.0,60.5,666.6666666666666,3.701275435692728
6e-06,30.0,9.0,50.0,1.5,139.21457656878522,1.0
0.266645,30.0,0.167,10.0,0.783515296437078,21.5,8.427193528711388
1.33322,30.000000000000004,30.0415,100.0,1.0,100.0,8.008691670931354
1.33322,30.000000000000004,30.0415,100.0,1.0,100.0,8.008691670931354
0.0115,30.0,15.5,264.2448825879918,8.754201673590758,136.64922959591615,29.953241860352005
0.896592927,30.0,2.5415,442.3933866995855,5.0,50.0,27.095732825162088
0.07317720884385846,30.0,1.0,5.0,5.0,180.0,7.790075098862838
5.5e-06,30.0,30.0,299.987731251606,10.413773565015298,122.63490964284804,29.99994754025942
242.25000110000002,30.0,30.0,82.53999999999999,58.85,2900.0,12.0
53.3289,30.0,5.0,10.0,1.0,200.0,7.4940622859786306
0.0533289,30.0,120.0,298.1395658308914,50.0,196.15367707490068,29.91858779001794
177.47074630466545,30.000000000000004,45.0,10.0,45.0,186.4728216691001,13.543016039714454
0.2,30.0,10.0,10.027993779330508,0.12296129819722477,51.48537326196764,26.376970438208808
0.2,30.0,600.0,10.041989684160104,0.10556719117720478,61.76442096749245,29.953471880070055
7e-06,30.0,13.708119177235261,118.05369562709667,99.80850120809649,133.2677892166161,7.04945082745084
7e-06,30.0,13.708119177235261,118.05369562709667,99.80850120809649,133.2677892166161,7.04945082745084
0.133322,30.0,10.0,10.0,30.0,64.87494247648623,8.567700740396068
0.133322,30.0,10.0,100.0,30.0,88.53538867998847,7.551794920129773
3.1033799633248953,30.0,13.17872931628014,0.1,400.0,835.7915955101969,4.552251288373145
26.6645,30.0,119.77310337612582,250.0,20.0,100.0,23.874711889669122
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
1013.25,30.0,20.0,100.0,15.0,200.0,8.032319902446948
1013.25,30.0,7.5,1500.0,15.0,600.0,9.69854487581342
1013.25,30.0,8.0,600.0,100.0,419.3795674699387,7.8017932095188245
1013.25,30.0,7.0,65.0,550.0,200.0,8.031551907293037
0.00202,30.0,50.0,293.54601756190067,10.360457144274164,101.81022506050832,29.997603349945148
0.666612,30.0,12.5,2.0,35.0,66.10977600983021,4.6694502832217655
0.133322,30.0,10.0,55.0,30.0,129.82150008596895,10.896047849828383
501.9113724832782,30.0,35.546872376327386,600.0,80.0,114.66251399891398,16.739024278515803
0.001333224,30.0,24.144933727117103,129.9432224041938,63.96543963204711,133.2568142964815,12.3994038591692
117.62690538453042,30.0,13.21977183531593,794.0,6.0,60.89711589092271,15.303579811586948
125.95241025929462,30.0,16.97038238931442,700.0,4.0,67.51772529107777,15.859807990089811
511.875,30.0,60.0,50.0,0.1,100.0,0.8640158920215062
133.322,30.0,120.0,7.320057165521466,45.29580272476814,65.4891183552452,10.722208334787139
5e-10,30.0,81.575,180.0,100.0,133.26784886678107,15.26
1e-10,30.000000000000004,81.575,180.0,100.0,133.26784887109585,15.26
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
5.5e-06,30.0,19.5,50.0,99.86453675996363,133.26780199711013,1.0
0.666612,30.0,12.5,100.0,70.0,175.13821029479593,2.1357195826326216
0.9999178,30.0,29.990403143474122,23.99389997449279,15.581770941442766,67.90766714564599,11.99618627222336
5.600001600000001,30.0,74.0,50.0,1.5,100.0,0.68
0.75327138,30.0,5.0,50.0,1.0,106.5163383434936,2.7664285803966266
0.49995888,30.0,54.77224445010946,52.79844065282171,33.137397702261886,275.1803030373877,12.062313291033785
0.933257,30.0,104.95064771679701,2.0,35.0,66.25648915505572,4.669968617123657
0.1999836,30.0,315.55345527598774,10.0,0.1,55.432626119017655,5.409883914597626
4.999589,30.0,113.92848225054574,200.0,100.0,50.0,20.328423114323517
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
5.5e-06,30.0,19.5,50.0,99.86453675996363,133.26780199711013,1.0
0.1466546,30.0,180.6930221142175,2.0,3.0,90.55399647136278,4.667553594428009
0.099991776,30.0,17.635080892346686,5.0,8.0,89.89270562341241,4.888746536342394
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
3e-06,30.0,2.5,300.0,6.480829760832122,73.64374503150984,30.0
1e-07,30.0,21.3,300.0,10.413915987504357,242.1829635492996,30.0
14.93211,30.0,30.0,20.0,2.0,233.4927969703,9.669809561144614
749.93832,30.0,30.0,850.0,6.0,352.98781491135884,8.825594096363558
0.1165515798800565,30.0,20.0,500.0,5.0,90.23918358821614,22.587205057305187
1e-12,30.0,81.575,180.0,100.0,133.26784887170695,15.26
1e-06,30.0,5.0,266.6666666666667,100.0,71.36942356309454,30.0
1.33e-06,30.0,101.66666666666667,180.0,100.0,133.2678375359382,15.26
1013.25,30.000000000000004,75.0,48.20564366519535,3.7959802401453073,223.31260123408794,8.06243259746902
1013.25,30.0,60.0,50.0,3.0,1000.0,2.8931993637018674
1.2411769204204237,30.0,20.0,10.0,1.0,500.0,8.074606967381802
39.9967,30.0,60.0,30.0,30.0,91.06010465176138,11.862853603947407
1013.25,30.0,60.0,10.0,50.0,300.0,7.948933997367099
1013.25,30.000000000000004,10.0,10.0,10.0,500.0,7.72406301400089
1013.25,30.0,600.0,260.9618529790865,9.138533420358847,426.0001547064899,7.555830041422268
1013.25,30.0,5.0,50.0,5.0,1000.0,2.908566425031267
53.3289,30.0,10.0,10.0,1.0,200.0,7.511925179278872
53.3289,29.999999999999996,7.5,10.0,1.0,200.0,13.698643642789122
67.9944,30.0,60.0,10.0,180.0,50.0,25.0
540.6222,30.0,60.0,10.0,180.0,50.0,25.0
41.08140505039243,29.999999999999996,130.0,30.0,0.5,200.0,3.327493762261332
133.322,30.0,120.0,30.901432977997544,44.659638674395055,1094.2067198067052,9.76228735465932
1013.25,29.999999999999996,90.0,50.0,30.0,414.93832512608657,2.884534076127722
25.06461,29.999999999999996,30.0,100.0,5.0,1000.0,6.124046853321881
9.99918,29.999999999999996,360.0,5.0,5.0,158.7649596163953,1.8585397142412499
0.0506625,30.0,22.5,156.5421292214609,8.972071476162748,187.84021727703433,29.83672668544263
0.07999342,30.0,137.99231865784378,30.849199705593026,36.56866197132539,135.90677963128934,8.790210988182297
1013.25,30.0,98.0,453.0,134.4,580.0,13.805547016834657
1013.25,30.000000000000004,7.0,65.0,550.0,200.0,1.3908646616541218
261.47714315229575,30.0,60.627231958762884,150.3860465116279,42.38765432098765,532.2875,12.408125
0.05332895,30.0,120.0,52.211725317799925,50.0,133.79407778121717,0.9512436391393766
0.3599704,30.0,131.09209833793452,17.88376054891165,19.982669746127243,136.05419995715533,6.240651714056328
0.1199901,30.000000000000004,53.7395648389944,33.3036747127068,27.871898500965813,133.9623374029964,10.643800754740482
